city,gender,age,practice_traditional_food,health_factor
Makasar,Female,42,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,31,Neither agree nor disagree,Strongly Agree
Makasar,Male,36,Agree,Disagree
Makasar,Male,46,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,59,Strongly Agree,Strongly Agree
Makasar,Male,40,Agree,Neither agree nor disagree
Makasar,Female,41,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,54,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,61,Neither agree nor disagree,Disagree
Makasar,Male,32,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,26,Disagree,Disagree
Makasar,Female,62,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,30,Strongly Agree,Neither agree nor disagree
Makasar,Female,41,Agree,Agree
Makasar,Female,27,Disagree,Disagree
